,Median_Household_Income_2019
12045,"53,228"
12047,"39,241"
12049,"41,430"
12051,"45,107"
12053,"50,705"
12055,"45,723"
12057,"61,133"
12059,"38,874"
12061,"61,173"
12063,"40,543"
12065,"47,192"
12067,"45,480"
12069,"57,660"
12071,"62,364"
12073,"55,081"
12075,"41,405"
12077,"44,236"
12079,"37,919"
12081,"64,151"
12083,"49,079"
12085,"70,806"
12086,"54,991"
12087,"67,528"
12089,"72,818"
12091,"63,520"
12093,"45,225"
12095,"63,133"
12097,"52,270"
12099,"66,621"
12101,"55,745"
12103,"56,708"
12105,"51,817"
12107,"41,986"
12109,"90,839"
12111,"57,292"
12113,"66,139"
12115,"66,258"
12117,"69,954"
12119,"63,464"
12121,"49,453"
12123,"42,987"
12125,"50,893"
12127,"53,554"
12129,"58,640"
12131,"62,600"
12133,"42,518"
13000,"61,950"
13001,"43,821"
13003,"38,581"
13005,"41,807"
13007,"39,515"
13009,"44,429"
13011,"53,481"
13013,"68,924"
13015,"60,254"
13017,"35,931"
13019,"42,058"
13021,"43,066"
13023,"48,115"
13025,"44,680"
13027,"39,554"
13029,"79,296"
13031,"48,788"
13033,"42,632"
13035,"47,410"
13037,"34,960"
13039,"58,552"
13043,"41,665"
13045,"59,193"
13047,"60,753"
13049,"42,891"
13051,"57,122"
13053,"46,106"
13055,"41,561"
13057,"88,635"
13059,"41,036"
13061,"24,732"
13063,"50,737"
13065,"42,928"
13067,"79,622"
13069,"41,675"
13071,"41,899"
13073,"88,285"
13075,"40,670"
13077,"79,232"
13079,"50,411"
13081,"40,482"
13083,"45,986"
13085,"69,155"
13087,"40,473"
13089,"63,606"
13091,"41,118"
13093,"37,109"
13095,"36,894"
13097,"62,915"
13099,"40,011"
13101,"40,408"
13103,"71,628"
13105,"40,962"
13107,"38,529"
13109,"41,425"
13111,"47,980"
13113,"94,563"
13115,"50,520"
13117,"113,332"
13119,"47,691"
13121,"79,235"
13123,"57,007"
13125,"49,350"
13127,"58,017"
13129,"53,373"
13131,"42,603"
13133,"60,973"
13135,"72,225"
13137,"51,296"
13139,"66,698"
13141,"31,715"
13143,"49,020"
13145,"74,052"
13147,"50,647"
13149,"48,984"
13151,"72,927"
13153,"65,641"
13155,"42,317"
